file,Playing bitrate _audio,Playing bitrate _video,Playing/Buffering vmaf,Buffering bitrate _audio,Buffering bitrate _video,Buffer size in Bytes _audio,Buffer size in Bytes _video,Buffer size in Bytes,Buffer size in Seconds _audio,Buffer size in Seconds _video,Framerate,Current Dropped Frames,Total Frames,Total Dropped Frames,Total Corrupted Frames,Total Frame Delay,Throughput
./Netflix_Screen_Capture\2021-03-21_15-40-32.798.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 520536150, 526804734,253.437 , 237.712, 23.976, 0, 27213, 1, 0, 761,
./Netflix_Screen_Capture\2021-03-21_15-40-42.801.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 503590114, 509858698,243.279 , 236.605, 23.976, 0, 27457, 1, 0, 761, 20289 kbps
./Netflix_Screen_Capture\2021-03-21_15-40-52.805.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 504683118, 510951702,250.163 , 240.846, 23.976, 0, 27680, 1, 0, 781, 19636 kbps
./Netflix_Screen_Capture\2021-03-21_15-41-02.797.jpeg,3840,2160, 100/100,192 , 17857,5877188 , 488557605, 494434793,239.950 , 230.633, 23.976, 0, 27924, 1, 0, 781, 14415 kbps
./Netflix_Screen_Capture\2021-03-21_15-41-12.801.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 500223240, 506491824,245.732 , 229.549, 23.976, 0, 28169, 1, 0, 781, 21061 kbps
./Netflix_Screen_Capture\2021-03-21_15-41-22.800.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 528366865, 534635449,251.532 , 235.625, 23.976, 0, 28414, 1, 0, 781, 24092 kbps
./Netflix_Screen_Capture\2021-03-21_15-41-32.817.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 534932594, 541201178,241.348 , 238.287, 23.976, 0, 28659, 1, 0, 781, 24544 kbps
./Netflix_Screen_Capture\2021-03-21_15-41-42.807.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 533929622, 540198206,247.143 , 235.047, 23.976, 0, 28901, 1, 0, 781, 25142 kbps
./Netflix_Screen_Capture\2021-03-21_15-41-52.784.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 566521811, 572790395,254.032 , 239.251, 23.976, 0, 29118, 1, 0, 781, 24264 kbps
./Netflix_Screen_Capture\2021-03-21_15-42-02.797.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 570504692, 576773276,243.830 , 236.264, 23.976, 0, 29367, 1, 0, 781,
